date,total_views,unique_views
2022-08-14,3,1
2022-08-15,0,0
2022-08-16,2,2
2022-08-17,6,2
2022-08-18,12,2
2022-08-19,5,1
2022-08-20,39,2
2022-08-21,0,0
2022-08-22,3,1
2022-08-23,28,6
2022-08-24,21,2
2022-08-25,142,6
2022-08-26,42,9
2022-08-27,28,4
2022-08-28,2,1
2022-08-29,13,4
2022-08-30,44,6
2022-08-31,36,5
2022-09-01,56,5
2022-09-02,30,7
2022-09-03,42,6
2022-09-04,20,2
2022-09-05,15,5
2022-09-06,51,8
2022-09-07,53,6
2022-09-08,27,6
2022-09-09,42,7
2022-09-10,37,7
2022-09-11,26,5
2022-09-12,29,6
2022-09-13,12,4
2022-09-14,61,10
2022-09-15,51,10
2022-09-16,111,21
2022-09-17,62,9
2022-09-18,29,7
2022-09-19,47,6
2022-09-20,74,13
2022-09-21,66,10
2022-09-22,106,9
2022-09-23,225,23
2022-09-24,38,7
2022-09-25,32,4
2022-09-26,61,8
2022-09-27,122,14
2022-09-28,60,5
2022-09-29,63,9
2022-09-30,174,22
2022-10-01,84,13
2022-10-02,78,9
2022-10-03,23,7
2022-10-04,25,4
2022-10-05,11,4
2022-10-06,7,3
2022-10-07,10,2
2022-10-08,38,4
2022-10-09,16,4
2022-10-10,12,2
2022-10-11,87,13
2022-10-12,59,10
2022-10-13,32,6
2022-10-14,145,18
2022-10-15,67,14
2022-10-16,30,5
2022-10-17,43,6
2022-10-18,60,10
2022-10-19,83,6
2022-10-20,39,4
2022-10-21,125,14
2022-10-22,52,6
2022-10-23,3,2
2022-10-24,10,5
2022-10-25,12,5
2022-10-26,35,6
2022-10-27,129,10
2022-10-28,195,21
2022-10-29,75,10
2022-10-30,52,10
2022-10-31,71,12
2022-11-01,76,15
2022-11-02,106,16
2022-11-03,214,14
2022-11-04,197,23
2022-11-05,78,10
2022-11-06,3,1
2022-11-07,81,13
2022-11-08,107,14
2022-11-09,149,15
2022-11-10,161,17
2022-11-11,393,27
2022-11-12,187,25
2022-11-13,77,9
2022-11-14,104,12
2022-11-15,147,19
2022-11-16,179,10
2022-11-17,81,9
2022-11-18,185,21
2022-11-19,36,7
2022-11-20,10,1
2022-11-21,14,2
2022-11-22,19,3
2022-11-23,8,2
2022-11-24,2,2
2022-11-25,2,2
2022-11-26,0,0
2022-11-27,0,0
2022-11-28,13,1
2022-11-29,4,1
2022-11-30,0,0
2022-12-01,32,6
2022-12-02,2,1
2022-12-03,0,0
2022-12-04,1,1
2022-12-05,2,2
2022-12-06,8,4
2022-12-07,11,4
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,23,1
2022-12-12,0,0
2022-12-13,8,1
2022-12-14,11,4
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,3,2
2022-12-23,4,1
2022-12-24,3,1
2022-12-25,0,0
2022-12-26,0,0
2022-12-27,2,1
2022-12-28,8,1
2022-12-29,0,0
2022-12-30,16,2
2022-12-31,28,4
2023-01-01,1,1
2023-01-02,10,1
2023-01-03,1,1
2023-01-04,1,1
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,4,1
2023-01-08,1,1
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,2,2
2023-01-12,4,2
2023-01-13,3,1
2023-01-14,8,2
2023-01-15,3,3
2023-01-16,10,2
2023-01-17,0,0
